dt,Fs,HOP,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,latency_s_theory
5.0,64.0,256.0,60.2,0.0,18.6,0.0,0.0,28.087,28.087,4.708173751831055,64,256,4.0
5.78,64.0,256.0,63.12,0.3458,54.0,407.467,0.142,454.153,861.762,10.489657402038574,64,256,4.0
5.0,64.0,256.0,63.8,0.2,39.3,235.799,0.083,276.047,511.929,15.49016284942627,64,256,4.0
5.86,64.0,256.0,63.48,0.3413,53.6,402.418,0.137,448.973,851.529,21.349552392959595,64,256,4.0
5.0,64.0,256.0,63.0,0.2,39.2,235.822,0.086,275.038,510.946,26.348795652389526,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.3,235.726,0.078,275.538,511.342,31.34913420677185,64,256,4.0
6.18,64.0,256.0,63.61,0.3237,51.8,381.708,0.13,427.976,809.814,37.53428626060486,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.3,235.828,0.083,276.195,512.106,42.53194260597229,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.3,235.831,0.081,275.369,511.28,47.53145170211792,64,256,4.0
6.14,64.0,256.0,62.89,0.3258,52.2,384.119,0.126,430.125,814.37,53.662254095077515,64,256,4.0
5.0,64.0,256.0,63.0,0.2,39.2,235.851,0.078,275.635,511.564,58.6719286441803,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.2,235.838,0.077,275.473,511.388,63.67160511016846,64,256,4.0
6.22,64.0,256.0,62.88,0.3216,51.6,379.187,0.132,424.009,803.328,69.87857794761658,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.4,235.817,0.083,276.026,511.927,74.87850713729858,64,256,4.0
5.0,64.0,256.0,63.2,0.2,39.2,235.823,0.077,275.418,511.318,79.87808585166931,64,256,4.0
6.18,64.0,256.0,63.15,0.3238,51.8,381.839,0.132,427.413,809.385,86.06763792037964,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.3,235.72,0.078,274.962,510.76,91.06224656105042,64,256,4.0
5.0,64.0,256.0,63.8,0.2,39.3,235.833,0.078,276.094,512.005,96.0628674030304,64,256,4.0
6.14,64.0,256.0,62.7,0.3257,52.0,384.087,0.135,430.291,814.514,102.19136881828308,64,256,4.0
5.0,64.0,256.0,64.0,0.2,39.2,235.827,0.086,274.944,510.857,107.2011661529541,64,256,4.0
5.0,64.0,256.0,63.0,0.2,39.3,235.745,0.087,274.634,510.465,112.2009334564209,64,256,4.0
6.19,64.0,256.0,62.7,0.3232,51.7,381.108,0.134,426.734,807.976,118.3768060207367,64,256,4.0
5.0,64.0,256.0,63.2,0.2,39.2,235.817,0.083,275.829,511.729,123.38727617263794,64,256,4.0
5.0,64.0,256.0,63.0,0.2,39.3,235.83,0.086,275.527,511.443,128.38722848892212,64,256,4.0
5.0,64.0,256.0,63.0,0.2,39.3,235.731,0.086,275.353,511.17,133.38691091537476,64,256,4.0
5.42,64.0,256.0,62.5,0.3687,56.4,434.782,0.143,482.789,917.714,138.79929661750793,64,256,4.0
5.0,64.0,256.0,63.2,0.2,39.3,235.827,0.081,276.627,512.535,143.80786967277527,64,256,4.0
5.0,64.0,256.0,63.2,0.2,39.3,235.819,0.086,275.317,511.222,148.80927729606628,64,256,4.0
6.22,64.0,256.0,62.55,0.3216,51.6,379.141,0.124,424.369,803.634,155.01610040664673,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.2,235.833,0.077,276.137,512.047,160.0268783569336,64,256,4.0
5.0,64.0,256.0,62.4,0.2,39.2,235.833,0.081,275.365,511.278,165.03637862205505,64,256,4.0
5.0,64.0,256.0,63.2,0.2,39.3,235.849,0.086,275.662,511.597,170.02718472480774,64,256,4.0
5.33,64.0,256.0,62.88,0.3754,57.1,442.539,0.154,490.733,933.425,175.34229373931885,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.3,235.838,0.077,276.575,512.49,180.35481905937195,64,256,4.0
5.0,64.0,256.0,63.8,0.2,39.3,235.828,0.081,275.934,511.844,185.354101896286,64,256,4.0
6.2,64.0,256.0,63.01,0.3223,51.7,380.022,0.128,425.738,805.888,191.54619598388672,64,256,4.0
5.0,64.0,256.0,63.8,0.2,39.4,235.809,0.077,276.849,512.736,196.55694603919983,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.3,235.823,0.078,276.216,512.116,201.55724954605103,64,256,4.0
6.05,64.0,256.0,53.69,0.3304,52.0,389.603,0.133,428.773,818.509,207.59784030914307,64,256,4.0
5.0,64.0,256.0,75.2,0.2,40.0,235.786,0.077,282.9,518.763,212.60170125961304,64,256,4.0
5.0,64.0,256.0,62.8,0.2,39.3,235.803,0.083,276.531,512.417,217.60085201263428,64,256,4.0
6.23,64.0,256.0,63.26,0.3211,51.6,378.674,0.129,424.876,803.679,223.82485580444336,64,256,4.0
5.0,64.0,256.0,62.6,0.2,39.3,235.822,0.081,275.719,511.621,228.82472896575928,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.3,235.792,0.086,275.67,511.548,233.82335019111633,64,256,4.0
5.0,64.0,256.0,63.2,0.2,39.3,235.806,0.077,276.694,512.577,238.82265830039978,64,256,4.0
5.35,64.0,256.0,62.44,0.3739,56.9,440.904,0.153,489.537,930.594,244.18265581130981,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.3,235.831,0.081,276.133,512.045,249.17967104911804,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.3,235.79,0.083,276.089,511.962,254.18018245697021,64,256,4.0
6.17,64.0,256.0,63.2,0.3241,51.8,382.144,0.126,428.078,810.348,260.35069370269775,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.3,235.821,0.083,276.041,511.945,265.34962940216064,64,256,4.0
5.0,64.0,256.0,64.4,0.2,39.3,235.847,0.081,276.148,512.076,270.34928607940674,64,256,4.0
6.06,64.0,256.0,63.38,0.3301,52.6,389.168,0.14,435.645,824.953,276.3994505405426,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.3,235.837,0.077,276.687,512.601,281.397643327713,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.3,235.839,0.081,276.271,512.191,286.39762330055237,64,256,4.0
6.18,64.0,256.0,62.91,0.3235,51.9,381.406,0.132,427.127,808.665,292.5855026245117,64,256,4.0
5.0,64.0,256.0,62.8,0.2,39.4,235.815,0.083,277.087,512.985,297.5813934803009,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.3,235.81,0.077,276.572,512.459,302.58292627334595,64,256,4.0
6.23,64.0,256.0,63.42,0.3211,51.6,378.679,0.13,423.82,802.629,308.8145225048065,64,256,4.0
